icd10,description
"G448","Other specified headache syndromes"
"G45X","Transient cerebral ischaemic attacks and related syndromes"
"G450","Vertebro-basilar artery syndrome"
"G451","Carotid artery syndrome (hemispheric)"
"G452","Multiple and bilateral precerebral artery syndromes"
"G453","Amaurosis fugax"
"G454","Transient global amnesia"
"G458","Other transient cerebral ischaemic attacks and related syndromes"
"G459","Transient cerebral ischaemic attack, unspecified"
"G46X","Vascular syndromes of brain in cerebrovascular diseases"
"G460","Middle cerebral artery syndrome"
"G461","Anterior cerebral artery syndrome"
"G462","Posterior cerebral artery syndrome"
"G463","Brain stem stroke syndrome"
"G464","Cerebellar stroke syndrome"
"G465","Pure motor lacunar syndrome"
"G466","Pure sensory lacunar syndrome"
"G467","Other lacunar syndromes"
"G468","Other vascular syndromes of brain in cerebrovascular diseases"
"G47X","Sleep disorders"
"G470","Disorders of initiating and maintaining sleep [insomnias]"
"G471","Disorders of excessive somnolence [hypersomnias]"
"G472","Disorders of the sleep-wake schedule"
"G473","Sleep apnoea"
"G474","Narcolepsy and cataplexy"
"G478","Other sleep disorders"
"G479","Sleep disorder, unspecified"
"G50X","Disorders of trigeminal nerve"
"G500","Trigeminal neuralgia"
"G501","Atypical facial pain"
"G508","Other disorders of trigeminal nerve"
"G509","Disorder of trigeminal nerve, unspecified"
"G51X","Facial nerve disorders"
"G510","Bell palsy"
"G511","Geniculate ganglionitis"
"G512","Melkersson syndrome"
"G513","Clonic hemifacial spasm"
"G514","Facial myokymia"
"G518","Other disorders of facial nerve"
"G519","Disorder of facial nerve, unspecified"
"G52X","Disorders of other cranial nerves"
"G520","Disorders of olfactory nerve"
"G521","Disorders of glossopharyngeal nerve"
"G522","Disorders of vagus nerve"
"G523","Disorders of hypoglossal nerve"
"G527","Disorders of multiple cranial nerves"
"G528","Disorders of other specified cranial nerves"
"G529","Cranial nerve disorder, unspecified"
"G53X","Cranial nerve disorders in diseases classified elsewhere"
"G530","Postzoster neuralgia"
"G531","Multiple cranial nerve palsies in infectious and parasitic diseases classified elsewhere"
"G532","Multiple cranial nerve palsies in sarcoidosis"
"G533","Multiple cranial nerve palsies in neoplastic disease"
"G538","Other cranial nerve disorders in other diseases classified elsewhere"
"G54X","Nerve root and plexus disorders"
"G540","Brachial plexus disorders"
"G541","Lumbosacral plexus disorders"
"G542","Cervical root disorders, not elsewhere classified"
"G543","Thoracic root disorders, not elsewhere classified"
"G544","Lumbosacral root disorders, not elsewhere classified"
"G545","Neuralgic amyotrophy"
"G546","Phantom limb syndrome with pain"
"G547","Phantom limb syndrome without pain"
"G548","Other nerve root and plexus disorders"
"G549","Nerve root and plexus disorder, unspecified"
"G55X","Nerve root and plexus compressions in diseases classified elsewhere"
"G550","Nerve root and plexus compressions in neoplastic disease"
"G551","Nerve root and plexus compressions in intervertebral disc disorders"
"G552","Nerve root and plexus compressions in spondylosis"
"G553","Nerve root and plexus compressions in other dorsopathies"
"G558","Nerve root and plexus compressions in other diseases classified elsewhere"
"G56X","Mononeuropathies of upper limb"
"G560","Carpal tunnel syndrome"
"G561","Other lesions of median nerve"
"G562","Lesion of ulnar nerve"
"G563","Lesion of radial nerve"
"G568","Other mononeuropathies of upper limb"
"G569","Mononeuropathy of upper limb, unspecified"
"G57X","Mononeuropathies of lower limb"
"G570","Lesion of sciatic nerve"
"G571","Meralgia paraesthetica"
"G572","Lesion of femoral nerve"
"G573","Lesion of lateral popliteal nerve"
"G574","Lesion of medial popliteal nerve"
"G575","Tarsal tunnel syndrome"
"G576","Lesion of plantar nerve"
"G578","Other mononeuropathies of lower limb"
"G579","Mononeuropathy of lower limb, unspecified"
"G58X","Other mononeuropathies"
"G580","Intercostal neuropathy"
"G587","Mononeuritis multiplex"
"G588","Other specified mononeuropathies"
"G589","Mononeuropathy, unspecified"
"G59X","Mononeuropathy in diseases classified elsewhere"
"G590","Diabetic mononeuropathy"
"G598","Other mononeuropathies in diseases classified elsewhere"
"G60X","Hereditary and idiopathic neuropathy"
"G600","Hereditary motor and sensory neuropathy"
"G601","Refsum disease"
"G602","Neuropathy in association with hereditary ataxia"
"G603","Idiopathic progressive neuropathy"
"G608","Other hereditary and idiopathic neuropathies"
"G609","Hereditary and idiopathic neuropathy, unspecified"
"G61X","Inflammatory polyneuropathy"
"G610","Guillain-Barré syndrome"
"G611","Serum neuropathy"
"G618","Other inflammatory polyneuropathies"
"G619","Inflammatory polyneuropathy, unspecified"
"G62X","Other polyneuropathies"
"G620","Drug-induced polyneuropathy"
"G621","Alcoholic polyneuropathy"
"G622","Polyneuropathy due to other toxic agents"
"G628","Other specified polyneuropathies"
"G629","Polyneuropathy, unspecified"
"G63X","Polyneuropathy in diseases classified elsewhere"
"G630","Polyneuropathy in infectious and parasitic diseases classified elsewhere"
"G631","Polyneuropathy in neoplastic disease"
"G632","Diabetic polyneuropathy"
"G633","Polyneuropathy in other endocrine and metabolic diseases"
"G634","Polyneuropathy in nutritional deficiency"
"G635","Polyneuropathy in systemic connective tissue disorders"
"G636","Polyneuropathy in other musculoskeletal disorders"
"G638","Polyneuropathy in other diseases classified elsewhere"
"G64X","Other disorders of peripheral nervous system"
"G70X","Myasthenia gravis and other myoneural disorders"
"G700","Myasthenia gravis"
"G701","Toxic myoneural disorders"
"G702","Congenital and developmental myasthenia"
"G708","Other specified myoneural disorders"
"G709","Myoneural disorder, unspecified"
"G71X","Primary disorders of muscles"
"G710","Muscular dystrophy"
"G711","Myotonic disorders"
"G712","Congenital myopathies"
"G713","Mitochondrial myopathy, not elsewhere classified"
"G718","Other primary disorders of muscles"
"G719","Primary disorder of muscle, unspecified"
"G72X","Other myopathies"
"G720","Drug-induced myopathy"
"G721","Alcoholic myopathy"
"G722","Myopathy due to other toxic agents"
"G723","Periodic paralysis"
"G724","Inflammatory myopathy, not elsewhere classified"
"G728","Other specified myopathies"
"G729","Myopathy, unspecified"
"G73X","Disorders of myoneural junction and muscle in diseases classified elsewhere"
"G730","Myasthenic syndromes in endocrine diseases"
"G731","Lambert-Eaton syndrome"
"G732","Other myasthenic syndromes in neoplastic disease"
"G733","Myasthenic syndromes in other diseases classified elsewhere"
"G734","Myopathy in infectious and parasitic diseases classified elsewhere"
"G735","Myopathy in endocrine diseases"
"G736","Myopathy in metabolic diseases"
"G737","Myopathy in other diseases classified elsewhere"
"G80X","Cerebral palsy"
"G800","Spastic quadriplegic cerebral palsy"
"G801","Spastic diplegic cerebral palsy"
"G802","Spastic hemiplegic cerebral palsy"
"G803","Dyskinetic cerebral palsy"
"G804","Ataxic cerebral palsy"
"G808","Other cerebral palsy"
"G809","Cerebral palsy, unspecified"
"G81X","Hemiplegia"
"G810","Flaccid hemiplegia"
"G811","Spastic hemiplegia"
"G819","Hemiplegia, unspecified"
"G82X","Paraplegia and tetraplegia"
"G820","Flaccid paraplegia"
"G821","Spastic paraplegia"
"G822","Paraplegia, unspecified"
"G823","Flaccid tetraplegia"
"G824","Spastic tetraplegia"
"G825","Tetraplegia, unspecified"
"G83X","Other paralytic syndromes"
"G830","Diplegia of upper limbs"
"G831","Monoplegia of lower limb"
"G832","Monoplegia of upper limb"
"G833","Monoplegia, unspecified"
"G834","Cauda equina syndrome"
"G835","Locked-in syndrome"
"G836","Upper motor neuron facial paralysis"
"G838","Other specified paralytic syndromes"
"G839","Paralytic syndrome, unspecified"
"G90X","Disorders of autonomic nervous system"
"G900","Idiopathic peripheral autonomic neuropathy"
"G901","Familial dysautonomia [Riley-Day]"
"G902","Horner syndrome"
"G904","Autonomic dysreflexia"
"G905","Complex regional pain syndrome type I"
"G906","Complex regional pain syndrome type II"
"G907","Complex regional pain syndrome, other and unspecified type"
"G908","Other disorders of autonomic nervous system"
"G909","Disorder of autonomic nervous system, unspecified"
"G91X","Hydrocephalus"
"G910","Communicating hydrocephalus"
"G911","Obstructive hydrocephalus"
"G912","Normal-pressure hydrocephalus"
"G913","Post-traumatic hydrocephalus, unspecified"
"G918","Other hydrocephalus"
"G919","Hydrocephalus, unspecified"
"G92X","Toxic encephalopathy"
"G93X","Other disorders of brain"
"G930","Cerebral cysts"
"G931","Anoxic brain damage, not elsewhere classified"
"G932","Benign intracranial hypertension"
"G933","Postviral fatigue syndrome"
"G934","Encephalopathy, unspecified"
"G935","Compression of brain"
"G936","Cerebral oedema"
"G937","Reye syndrome"
"G938","Other specified disorders of brain"
"G939","Disorder of brain, unspecified"
"G94X","Other disorders of brain in diseases classified elsewhere"
"G940","Hydrocephalus in infectious and parasitic diseases classified elsewhere"
"G941","Hydrocephalus in neoplastic disease"
"G942","Hydrocephalus in other diseases classified elsewhere"
"G943","Encephalopathy in diseases classified elsewhere"
"G948","Other specified disorders of brain in diseases classified elsewhere"
"G95X","Other diseases of spinal cord"
"G950","Syringomyelia and syringobulbia"
"G951","Vascular myelopathies"
"G952","Cord compression, unspecified"
"G958","Other specified diseases of spinal cord"
"G959","Disease of spinal cord, unspecified"
"G96X","Other disorders of central nervous system"
"G960","Cerebrospinal fluid leak"
"G961","Disorders of meninges, not elsewhere classified"
"G968","Other specified disorders of central nervous system"
"G969","Disorder of central nervous system, unspecified"
"G97X","Postprocedural disorders of nervous system, not elsewhere classified"
"G970","Cerebrospinal fluid leak from spinal puncture"
"G971","Other reaction to spinal and lumbar puncture"
"G972","Intracranial hypotension following ventricular shunting"
"G978","Other postprocedural disorders of nervous system"
"G979","Postprocedural disorder of nervous system, unspecified"
"G98X","Other disorders of nervous system, not elsewhere classified"
"G99X","Other disorders of nervous system in diseases classified elsewhere"
"G990","Autonomic neuropathy in endocrine and metabolic diseases"
"G991","Other disorders of autonomic nervous system in other diseases classified elsewhere"
"G992","Myelopathy in diseases classified elsewhere"
"G998","Other specified disorders of nervous system in diseases classified elsewhere"
