icd10,description
"F440","Dissociative amnesia"
"F441","Dissociative fugue"
"F442","Dissociative stupor"
"F443","Trance and possession disorders"
"F444","Dissociative motor disorders"
"F445","Dissociative convulsions"
"F446","Dissociative anaesthesia and sensory loss"
"F447","Mixed dissociative [conversion] disorders"
"F448","Other dissociative [conversion] disorders"
"F449","Dissociative [conversion] disorder, unspecified"
"F45X","Somatoform disorders"
"F450","Somatization disorder"
"F451","Undifferentiated somatoform disorder"
"F452","Hypochondriacal disorder"
"F453","Somatoform autonomic dysfunction"
"F454","Persistent somatoform pain disorder"
"F458","Other somatoform disorders"
"F459","Somatoform disorder, unspecified"
"F48X","Other neurotic disorders"
"F480","Neurasthenia"
"F481","Depersonalization-derealization syndrome"
"F488","Other specified neurotic disorders"
"F489","Neurotic disorder, unspecified"
"F50X","Eating disorders"
"F500","Anorexia nervosa"
"F501","Atypical anorexia nervosa"
"F502","Bulimia nervosa"
"F503","Atypical bulimia nervosa"
"F504","Overeating associated with other psychological disturbances"
"F505","Vomiting associated with other psychological disturbances"
"F508","Other eating disorders"
"F509","Eating disorder, unspecified"
"F51X","Nonorganic sleep disorders"
"F510","Nonorganic insomnia"
"F511","Nonorganic hypersomnia"
"F512","Nonorganic disorder of the sleep-wake schedule"
"F513","Sleepwalking [somnambulism]"
"F514","Sleep terrors [night terrors]"
"F515","Nightmares"
"F518","Other nonorganic sleep disorders"
"F519","Nonorganic sleep disorder, unspecified"
"F52X","Sexual dysfunction, not caused by organic disorder or disease"
"F520","Lack or loss of sexual desire"
"F521","Sexual aversion and lack of sexual enjoyment"
"F522","Failure of genital response"
"F523","Orgasmic dysfunction"
"F524","Premature ejaculation"
"F525","Nonorganic vaginismus"
"F526","Nonorganic dyspareunia"
"F527","Excessive sexual drive"
"F528","Other sexual dysfunction, not caused by organic disorder or disease"
"F529","Unspecified sexual dysfunction, not caused by organic disorder or disease"
"F53X","Mental and behavioural disorders associated with the puerperium, not elsewhere classified"
"F530","Mild mental and behavioural disorders associated with the puerperium, not elsewhere classified"
"F531","Severe mental and behavioural disorders associated with the puerperium, not elsewhere classified"
"F538","Other mental and behavioural disorders associated with the puerperium, not elsewhere classified"
"F539","Puerperal mental disorder, unspecified"
"F54X","Psychological and behavioural factors associated with disorders or diseases classified elsewhere"
"F55X","Abuse of non-dependence-producing substances"
"F59X","Unspecified behavioural syndromes associated with physiological disturbances and physical factors"
"F60X","Specific personality disorders"
"F600","Paranoid personality disorder"
"F601","Schizoid personality disorder"
"F602","Dissocial personality disorder"
"F603","Emotionally unstable personality disorder"
"F604","Histrionic personality disorder"
"F605","Anankastic personality disorder"
"F606","Anxious [avoidant] personality disorder"
"F607","Dependent personality disorder"
"F608","Other specific personality disorders"
"F609","Personality disorder, unspecified"
"F61X","Mixed and other personality disorders"
"F62X","Enduring personality changes, not attributable to brain damage and disease"
"F620","Enduring personality change after catastrophic experience"
"F621","Enduring personality change after psychiatric illness"
"F628","Other enduring personality changes"
"F629","Enduring personality change, unspecified"
"F63X","Habit and impulse disorders"
"F630","Pathological gambling"
"F631","Pathological fire-setting [pyromania]"
"F632","Pathological stealing [kleptomania]"
"F633","Trichotillomania"
"F638","Other habit and impulse disorders"
"F639","Habit and impulse disorder, unspecified"
"F64X","Gender identity disorders"
"F640","Transsexualism"
"F641","Dual-role transvestism"
"F642","Gender identity disorder of childhood"
"F648","Other gender identity disorders"
"F649","Gender identity disorder, unspecified"
"F65X","Disorders of sexual preference"
"F650","Fetishism"
"F651","Fetishistic transvestism"
"F652","Exhibitionism"
"F653","Voyeurism"
"F654","Paedophilia"
"F655","Sadomasochism"
"F656","Multiple disorders of sexual preference"
"F658","Other disorders of sexual preference"
"F659","Disorder of sexual preference, unspecified"
"F66X","Psychological and behavioural disorders associated with sexual development and orientation"
"F660","Sexual maturation disorder"
"F661","Egodystonic sexual orientation"
"F662","Sexual relationship disorder"
"F668","Other psychosexual development disorders"
"F669","Psychosexual development disorder, unspecified"
"F68X","Other disorders of adult personality and behaviour"
"F680","Elaboration of physical symptoms for psychological reasons"
"F681","Intentional production or feigning of symptoms or disabilities, either physical or psychological [factitious disorder]"
"F688","Other specified disorders of adult personality and behaviour"
"F69X","Unspecified disorder of adult personality and behaviour"
"F70X","Mild mental retardation"
"F71X","Moderate mental retardation"
"F72X","Severe mental retardation"
"F73X","Profound mental retardation"
"F78X","Other mental retardation"
"F79X","Unspecified mental retardation"
"F80X","Specific developmental disorders of speech and language"
"F800","Specific speech articulation disorder"
"F801","Expressive language disorder"
"F802","Receptive language disorder"
"F803","Acquired aphasia with epilepsy [Landau-Kleffner]"
"F808","Other developmental disorders of speech and language"
"F809","Developmental disorder of speech and language, unspecified"
"F81X","Specific developmental disorders of scholastic skills"
"F810","Specific reading disorder"
"F811","Specific spelling disorder"
"F812","Specific disorder of arithmetical skills"
"F813","Mixed disorder of scholastic skills"
"F818","Other developmental disorders of scholastic skills"
"F819","Developmental disorder of scholastic skills, unspecified"
"F82X","Specific developmental disorder of motor function"
"F83X","Mixed specific developmental disorders"
"F84X","Pervasive developmental disorders"
"F840","Childhood autism"
"F841","Atypical autism"
"F842","Rett syndrome"
"F843","Other childhood disintegrative disorder"
"F844","Overactive disorder associated with mental retardation and stereotyped movements"
"F845","Asperger syndrome"
"F848","Other pervasive developmental disorders"
"F849","Pervasive developmental disorder, unspecified"
"F88X","Other disorders of psychological development"
"F89X","Unspecified disorder of psychological development"
"F90X","Hyperkinetic disorders"
"F900","Disturbance of activity and attention"
"F901","Hyperkinetic conduct disorder"
"F908","Other hyperkinetic disorders"
"F909","Hyperkinetic disorder, unspecified"
"F91X","Conduct disorders"
"F910","Conduct disorder confined to the family context"
"F911","Unsocialized conduct disorder"
"F912","Socialized conduct disorder"
"F913","Oppositional defiant disorder"
"F918","Other conduct disorders"
"F919","Conduct disorder, unspecified"
"F92X","Mixed disorders of conduct and emotions"
"F920","Depressive conduct disorder"
"F928","Other mixed disorders of conduct and emotions"
"F929","Mixed disorder of conduct and emotions, unspecified"
"F93X","Emotional disorders with onset specific to childhood"
"F930","Separation anxiety disorder of childhood"
"F931","Phobic anxiety disorder of childhood"
"F932","Social anxiety disorder of childhood"
"F933","Sibling rivalry disorder"
"F938","Other childhood emotional disorders"
"F939","Childhood emotional disorder, unspecified"
"F94X","Disorders of social functioning with onset specific to childhood and adolescence"
"F940","Elective mutism"
"F941","Reactive attachment disorder of childhood"
"F942","Disinhibited attachment disorder of childhood"
"F948","Other childhood disorders of social functioning"
"F949","Childhood disorder of social functioning, unspecified"
"F95X","Tic disorders"
"F950","Transient tic disorder"
"F951","Chronic motor or vocal tic disorder"
"F952","Combined vocal and multiple motor tic disorder [de la Tourette]"
"F958","Other tic disorders"
"F959","Tic disorder, unspecified"
"F98X","Other behavioural and emotional disorders with onset usually occurring in childhood and adolescence"
"F980","Nonorganic enuresis"
"F981","Nonorganic encopresis"
"F982","Feeding disorder of infancy and childhood"
"F983","Pica of infancy and childhood"
"F984","Stereotyped movement disorders"
"F985","Stuttering [stammering]"
"F986","Cluttering"
"F988","Other specified behavioural and emotional disorders with onset usually occurring in childhood and adolescence"
"F989","Unspecified behavioural and emotional disorders with onset usually occurring in childhood and adolescence"
"F99X","Mental disorder, not otherwise specified"
"G30X","Alzheimer disease"
"G300","Alzheimer disease with early onset"
"G301","Alzheimer disease with late onset"
"G308","Other Alzheimer disease"
"G309","Alzheimer disease, unspecified"
"X60X","Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"
"X61X","Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"
"X62X","Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"
"X63X","Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system"
"X64X","Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"
"X65X","Intentional self-poisoning by and exposure to alcohol"
"X66X","Intentional self-poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours"
"X67X","Intentional self-poisoning by and exposure to carbon monoxide and other gases and vapours"
"X670","Intentional self-poisoning by and exposure to carbon monoxide from combustion engine exhaust"
"X671","Intentional self-poisoning by and exposure to carbon monoxide from utility gas"
"X672","Intentional self-poisoning by and exposure to carbon monoxide from other domestic fuels"
"X673","Intentional self-poisoning by and exposure to carbon monoxide from other sources"
"X674","Intentional self-poisoning by and exposure to carbon monoxide from unspecified sources"
"X678","Intentional self-poisoning by and exposure to other specified gases and vapours"
"X679","Intentional self-poisoning by and exposure to unspecified gases and vapours"
"X68X","Intentional self-poisoning by and exposure to pesticides"
"X69X","Intentional self-poisoning by and exposure to other and unspecified chemicals and noxious substances"
"X70X","Intentional self-harm by hanging, strangulation and suffocation"
"X71X","Intentional self-harm by drowning and submersion"
"X72X","Intentional self-harm by handgun discharge"
"X73X","Intentional self-harm by rifle, shotgun and larger firearm discharge"
"X74X","Intentional self-harm by other and unspecified firearm discharge"
"X75X","Intentional self-harm by explosive material"
"X76X","Intentional self-harm by smoke, fire and flames"
"X77X","Intentional self-harm by steam, hot vapours and hot objects"
"X78X","Intentional self-harm by sharp object"
"X79X","Intentional self-harm by blunt object"
"X80X","Intentional self-harm by jumping from a high place"
"X81X","Intentional self-harm by jumping or lying before moving object"
"X82X","Intentional self-harm by crashing of motor vehicle"
"X83X","Intentional self-harm by other specified means"
"X84X","Intentional self-harm by unspecified means"
