icd10,description
"M793","Panniculitis, unspecified"
"M794","Hypertrophy of (infrapatellar) fat pad"
"M795","Residual foreign body in soft tissue"
"M796","Pain in limb"
"M797","Fibromyalgia"
"M798","Other specified soft tissue disorders"
"M799","Soft tissue disorder, unspecified"
"M80X","Osteoporosis with pathological fracture"
"M800","Postmenopausal osteoporosis with pathological fracture"
"M801","Postoophorectomy osteoporosis with pathological fracture"
"M802","Osteoporosis of disuse with pathological fracture"
"M803","Postsurgical malabsorption osteoporosis with pathological fracture"
"M804","Drug-induced osteoporosis with pathological fracture"
"M805","Idiopathic osteoporosis with pathological fracture"
"M808","Other osteoporosis with pathological fracture"
"M809","Unspecified osteoporosis with pathological fracture"
"M81X","Osteoporosis without pathological fracture"
"M810","Postmenopausal osteoporosis"
"M811","Postoophorectomy osteoporosis"
"M812","Osteoporosis of disuse"
"M813","Postsurgical malabsorption osteoporosis"
"M814","Drug-induced osteoporosis"
"M815","Idiopathic osteoporosis"
"M816","Localized osteoporosis [Lequesne]"
"M818","Other osteoporosis"
"M819","Osteoporosis, unspecified"
"M82X","Osteoporosis in diseases classified elsewhere"
"M820","Osteoporosis in multiple myelomatosis"
"M821","Osteoporosis in endocrine disorders"
"M828","Osteoporosis in other diseases classified elsewhere"
"M83X","Adult osteomalacia"
"M830","Puerperal osteomalacia"
"M831","Senile osteomalacia"
"M832","Adult osteomalacia due to malabsorption"
"M833","Adult osteomalacia due to malnutrition"
"M834","Aluminium bone disease"
"M835","Other drug-induced osteomalacia in adults"
"M838","Other adult osteomalacia"
"M839","Adult osteomalacia, unspecified"
"M84X","Disorders of continuity of bone"
"M840","Malunion of fracture"
"M841","Nonunion of fracture [pseudarthrosis]"
"M842","Delayed union of fracture"
"M843","Stress fracture, not elsewhere classified"
"M844","Pathological fracture, not elsewhere classified"
"M848","Other disorders of continuity of bone"
"M849","Disorder of continuity of bone, unspecified"
"M85X","Other disorders of bone density and structure"
"M850","Fibrous dysplasia (monostotic)"
"M851","Skeletal fluorosis"
"M852","Hyperostosis of skull"
"M853","Osteitis condensans"
"M854","Solitary bone cyst"
"M855","Aneurysmal bone cyst"
"M856","Other cyst of bone"
"M858","Other specified disorders of bone density and structure"
"M859","Disorder of bone density and structure, unspecified"
"M86X","Osteomyelitis"
"M860","Acute haematogenous osteomyelitis"
"M861","Other acute osteomyelitis"
"M862","Subacute osteomyelitis"
"M863","Chronic multifocal osteomyelitis"
"M864","Chronic osteomyelitis with draining sinus"
"M865","Other chronic haematogenous osteomyelitis"
"M866","Other chronic osteomyelitis"
"M868","Other osteomyelitis"
"M869","Osteomyelitis, unspecified"
"M87X","Osteonecrosis"
"M870","Idiopathic aseptic necrosis of bone"
"M871","Osteonecrosis due to drugs"
"M872","Osteonecrosis due to previous trauma"
"M873","Other secondary osteonecrosis"
"M878","Other osteonecrosis"
"M879","Osteonecrosis, unspecified"
"M88X","Paget disease of bone [osteitis deformans]"
"M880","Paget disease of skull"
"M888","Paget disease of other bones"
"M889","Paget disease of bone, unspecified"
"M89X","Other disorders of bone"
"M890","Algoneurodystrophy"
"M891","Epiphyseal arrest"
"M892","Other disorders of bone development and growth"
"M893","Hypertrophy of bone"
"M894","Other hypertrophic osteoarthropathy"
"M895","Osteolysis"
"M896","Osteopathy after poliomyelitis"
"M898","Other specified disorders of bone"
"M899","Disorder of bone, unspecified"
"M90X","Osteopathies in diseases classified elsewhere"
"M900","Tuberculosis of bone"
"M901","Periostitis in other infectious diseases classified elsewhere"
"M902","Osteopathy in other infectious diseases classified elsewhere"
"M903","Osteonecrosis in caisson disease"
"M904","Osteonecrosis due to haemoglobinopathy"
"M905","Osteonecrosis in other diseases classified elsewhere"
"M906","Osteitis deformans in neoplastic disease"
"M907","Fracture of bone in neoplastic disease"
"M908","Osteopathy in other diseases classified elsewhere"
"M91X","Juvenile osteochondrosis of hip and pelvis"
"M910","Juvenile osteochondrosis of pelvis"
"M911","Juvenile osteochondrosis of head of femur [Legg-Calvé-Perthes]"
"M912","Coxa plana"
"M913","Pseudocoxalgia"
"M918","Other juvenile osteochondrosis of hip and pelvis"
"M919","Juvenile osteochondrosis of hip and pelvis, unspecified"
"M92X","Other juvenile osteochondrosis"
"M920","Juvenile osteochondrosis of humerus"
"M921","Juvenile osteochondrosis of radius and ulna"
"M922","Juvenile osteochondrosis of hand"
"M923","Other juvenile osteochondrosis of upper limb"
"M924","Juvenile osteochondrosis of patella"
"M925","Juvenile osteochondrosis of tibia and fibula"
"M926","Juvenile osteochondrosis of tarsus"
"M927","Juvenile osteochondrosis of metatarsus"
"M928","Other specified juvenile osteochondrosis"
"M929","Juvenile osteochondrosis, unspecified"
"M93X","Other osteochondropathies"
"M930","Slipped upper femoral epiphysis (nontraumatic)"
"M931","Kienböck disease of adults"
"M932","Osteochondritis dissecans"
"M938","Other specified osteochondropathies"
"M939","Osteochondropathy, unspecified"
"M94X","Other disorders of cartilage"
"M940","Chondrocostal junction syndrome [Tietze]"
"M941","Relapsing polychondritis"
"M942","Chondromalacia"
"M943","Chondrolysis"
"M948","Other specified disorders of cartilage"
"M949","Disorder of cartilage, unspecified"
"M95X","Other acquired deformities of musculoskeletal system and connective tissue"
"M950","Acquired deformity of nose"
"M951","Cauliflower ear"
"M952","Other acquired deformity of head"
"M953","Acquired deformity of neck"
"M954","Acquired deformity of chest and rib"
"M955","Acquired deformity of pelvis"
"M958","Other specified acquired deformities of musculoskeletal system"
"M959","Acquired deformity of musculoskeletal system, unspecified"
"M96X","Postprocedural musculoskeletal disorders, not elsewhere classified"
"M960","Pseudarthrosis after fusion or arthrodesis"
"M961","Postlaminectomy syndrome, not elsewhere classified"
"M962","Postradiation kyphosis"
"M963","Postlaminectomy kyphosis"
"M964","Postsurgical lordosis"
"M965","Postradiation scoliosis"
"M966","Fracture of bone following insertion of orthopaedic implant, joint prosthesis, or bone plate"
"M968","Other postprocedural musculoskeletal disorders"
"M969","Postprocedural musculoskeletal disorder, unspecified"
"M99X","Biomechanical lesions, not elsewhere classified"
"M990","Segmental and somatic dysfunction"
"M991","Subluxation complex (vertebral)"
"M992","Subluxation stenosis of neural canal"
"M993","Osseous stenosis of neural canal"
"M994","Connective tissue stenosis of neural canal"
"M995","Intervertebral disc stenosis of neural canal"
"M996","Osseous and subluxation stenosis of intervertebral foramina"
"M997","Connective tissue and disc stenosis of intervertebral foramina"
"M998","Other biomechanical lesions"
"M999","Biomechanical lesion, unspecified"
