icd10,description
"N422","Atrophy of prostate"
"N423","Dysplasia of prostate"
"N428","Other specified disorders of prostate"
"N429","Disorder of prostate, unspecified"
"N43X","Hydrocele and spermatocele"
"N430","Encysted hydrocele"
"N431","Infected hydrocele"
"N432","Other hydrocele"
"N433","Hydrocele, unspecified"
"N434","Spermatocele"
"N44X","Torsion of testis"
"N45X","Orchitis and epididymitis"
"N450","Orchitis, epididymitis and epididymo-orchitis with abscess"
"N459","Orchitis, epididymitis and epididymo-orchitis without abscess"
"N46X","Male infertility"
"N47X","Redundant prepuce, phimosis and paraphimosis"
"N48X","Other disorders of penis"
"N480","Leukoplakia of penis"
"N481","Balanoposthitis"
"N482","Other inflammatory disorders of penis"
"N483","Priapism"
"N484","Impotence of organic origin"
"N485","Ulcer of penis"
"N486","Induratio penis plastica"
"N488","Other specified disorders of penis"
"N489","Disorder of penis, unspecified"
"N49X","Inflammatory disorders of male genital organs, not elsewhere classified"
"N490","Inflammatory disorders of seminal vesicle"
"N491","Inflammatory disorders of spermatic cord, tunica vaginalis and vas deferens"
"N492","Inflammatory disorders of scrotum"
"N498","Inflammatory disorders of other specified male genital organs"
"N499","Inflammatory disorder of unspecified male genital organ"
"N50X","Other disorders of male genital organs"
"N500","Atrophy of testis"
"N501","Vascular disorders of male genital organs"
"N508","Other specified disorders of male genital organs"
"N509","Disorder of male genital organs, unspecified"
"N51X","Disorders of male genital organs in diseases classified elsewhere"
"N510","Disorders of prostate in diseases classified elsewhere"
"N511","Disorders of testis and epididymis in diseases classified elsewhere"
"N512","Balanitis in diseases classified elsewhere"
"N518","Other disorders of male genital organs in diseases classified elsewhere"
"N60X","Benign mammary dysplasia"
"N600","Solitary cyst of breast"
"N601","Diffuse cystic mastopathy"
"N602","Fibroadenosis of breast"
"N603","Fibrosclerosis of breast"
"N604","Mammary duct ectasia"
"N608","Other benign mammary dysplasias"
"N609","Benign mammary dysplasia, unspecified"
"N61X","Inflammatory disorders of breast"
"N62X","Hypertrophy of breast"
"N63X","Unspecified lump in breast"
"N64X","Other disorders of breast"
"N640","Fissure and fistula of nipple"
"N641","Fat necrosis of breast"
"N642","Atrophy of breast"
"N643","Galactorrhoea not associated with childbirth"
"N644","Mastodynia"
"N645","Other signs and symptoms in breast"
"N648","Other specified disorders of breast"
"N649","Disorder of breast, unspecified"
"N70X","Salpingitis and oophoritis"
"N700","Acute salpingitis and oophoritis"
"N701","Chronic salpingitis and oophoritis"
"N709","Salpingitis and oophoritis, unspecified"
"N71X","Inflammatory disease of uterus, except cervix"
"N710","Acute inflammatory disease of uterus"
"N711","Chronic inflammatory disease of uterus"
"N719","Inflammatory disease of uterus, unspecified"
"N72X","Inflammatory disease of cervix uteri"
"N73X","Other female pelvic inflammatory diseases"
"N730","Acute parametritis and pelvic cellulitis"
"N731","Chronic parametritis and pelvic cellulitis"
"N732","Unspecified parametritis and pelvic cellulitis"
"N733","Female acute pelvic peritonitis"
"N734","Female chronic pelvic peritonitis"
"N735","Female pelvic peritonitis, unspecified"
"N736","Female pelvic peritoneal adhesions"
"N738","Other specified female pelvic inflammatory diseases"
"N739","Female pelvic inflammatory disease, unspecified"
"N74X","Female pelvic inflammatory disorders in diseases classified elsewhere"
"N740","Tuberculous infection of cervix uteri"
"N741","Female tuberculous pelvic inflammatory disease"
"N742","Female syphilitic pelvic inflammatory disease"
"N743","Female gonococcal pelvic inflammatory disease"
"N744","Female chlamydial pelvic inflammatory disease"
"N748","Female pelvic inflammatory disorders in other diseases classified elsewhere"
"N75X","Diseases of Bartholin gland"
"N750","Cyst of Bartholin gland"
"N751","Abscess of Bartholin gland"
"N758","Other diseases of Bartholin gland"
"N759","Disease of Bartholin gland, unspecified"
"N76X","Other inflammation of vagina and vulva"
"N760","Acute vaginitis"
"N761","Subacute and chronic vaginitis"
"N762","Acute vulvitis"
"N763","Subacute and chronic vulvitis"
"N764","Abscess of vulva"
"N765","Ulceration of vagina"
"N766","Ulceration of vulva"
"N768","Other specified inflammation of vagina and vulva"
"N77X","Vulvovaginal ulceration and inflammation in diseases classified elsewhere"
"N770","Ulceration of vulva in infectious and parasitic diseases classified elsewhere"
"N771","Vaginitis, vulvitis and vulvovaginitis in infectious and parasitic diseases classified elsewhere"
"N778","Vulvovaginal ulceration and inflammation in other diseases classified elsewhere"
"N80X","Endometriosis"
"N800","Endometriosis of uterus"
"N801","Endometriosis of ovary"
"N802","Endometriosis of fallopian tube"
"N803","Endometriosis of pelvic peritoneum"
"N804","Endometriosis of rectovaginal septum and vagina"
"N805","Endometriosis of intestine"
"N806","Endometriosis in cutaneous scar"
"N808","Other endometriosis"
"N809","Endometriosis, unspecified"
"N81X","Female genital prolapse"
"N810","Female urethrocele"
"N811","Cystocele"
"N812","Incomplete uterovaginal prolapse"
"N813","Complete uterovaginal prolapse"
"N814","Uterovaginal prolapse, unspecified"
"N815","Vaginal enterocele"
"N816","Rectocele"
"N818","Other female genital prolapse"
"N819","Female genital prolapse, unspecified"
"N82X","Fistulae involving female genital tract"
"N820","Vesicovaginal fistula"
"N821","Other female urinary-genital tract fistulae"
"N822","Fistula of vagina to small intestine"
"N823","Fistula of vagina to large intestine"
"N824","Other female intestinal-genital tract fistulae"
"N825","Female genital tract-skin fistulae"
"N828","Other female genital tract fistulae"
"N829","Female genital tract fistula, unspecified"
"N83X","Noninflammatory disorders of ovary, fallopian tube and broad ligament"
"N830","Follicular cyst of ovary"
"N831","Corpus luteum cyst"
"N832","Other and unspecified ovarian cysts"
"N833","Acquired atrophy of ovary and fallopian tube"
"N834","Prolapse and hernia of ovary and fallopian tube"
"N835","Torsion of ovary, ovarian pedicle and fallopian tube"
"N836","Haematosalpinx"
"N837","Haematoma of broad ligament"
"N838","Other noninflammatory disorders of ovary, fallopian tube and broad ligament"
"N839","Noninflammatory disorder of ovary, fallopian tube and broad ligament, unspecified"
"N84X","Polyp of female genital tract"
"N840","Polyp of corpus uteri"
"N841","Polyp of cervix uteri"
"N842","Polyp of vagina"
"N843","Polyp of vulva"
"N848","Polyp of other parts of female genital tract"
"N849","Polyp of female genital tract, unspecified"
"N85X","Other noninflammatory disorders of uterus, except cervix"
"N850","Endometrial glandular hyperplasia"
"N851","Endometrial adenomatous hyperplasia"
"N852","Hypertrophy of uterus"
"N853","Subinvolution of uterus"
"N854","Malposition of uterus"
"N855","Inversion of uterus"
"N856","Intrauterine synechiae"
"N857","Haematometra"
"N858","Other specified noninflammatory disorders of uterus"
"N859","Noninflammatory disorder of uterus, unspecified"
"N86X","Erosion and ectropion of cervix uteri"
"N87X","Dysplasia of cervix uteri"
"N870","Mild cervical dysplasia"
"N871","Moderate cervical dysplasia"
"N872","Severe cervical dysplasia, not elsewhere classified"
"N879","Dysplasia of cervix uteri, unspecified"
"N88X","Other noninflammatory disorders of cervix uteri"
"N880","Leukoplakia of cervix uteri"
"N881","Old laceration of cervix uteri"
"N882","Stricture and stenosis of cervix uteri"
"N883","Incompetence of cervix uteri"
"N884","Hypertrophic elongation of cervix uteri"
"N888","Other specified noninflammatory disorders of cervix uteri"
"N889","Noninflammatory disorder of cervix uteri, unspecified"
"N89X","Other noninflammatory disorders of vagina"
"N890","Mild vaginal dysplasia"
"N891","Moderate vaginal dysplasia"
"N892","Severe vaginal dysplasia, not elsewhere classified"
"N893","Dysplasia of vagina, unspecified"
"N894","Leukoplakia of vagina"
"N895","Stricture and atresia of vagina"
"N896","Tight hymenal ring"
"N897","Haematocolpos"
"N898","Other specified noninflammatory disorders of vagina"
"N899","Noninflammatory disorder of vagina, unspecified"
"N90X","Other noninflammatory disorders of vulva and perineum"
"N900","Mild vulvar dysplasia"
"N901","Moderate vulvar dysplasia"
"N902","Severe vulvar dysplasia, not elsewhere classified"
"N903","Dysplasia of vulva, unspecified"
"N904","Leukoplakia of vulva"
"N905","Atrophy of vulva"
"N906","Hypertrophy of vulva"
"N907","Vulvar cyst"
"N908","Other specified noninflammatory disorders of vulva and perineum"
"N909","Noninflammatory disorder of vulva and perineum, unspecified"
"N91X","Absent, scanty and rare menstruation"
"N910","Primary amenorrhoea"
"N911","Secondary amenorrhoea"
"N912","Amenorrhoea, unspecified"
"N913","Primary oligomenorrhoea"
"N914","Secondary oligomenorrhoea"
"N915","Oligomenorrhoea, unspecified"
"N92X","Excessive, frequent and irregular menstruation"
"N920","Excessive and frequent menstruation with regular cycle"
"N921","Excessive and frequent menstruation with irregular cycle"
"N922","Excessive menstruation at puberty"
"N923","Ovulation bleeding"
"N924","Excessive bleeding in the premenopausal period"
"N925","Other specified irregular menstruation"
"N926","Irregular menstruation, unspecified"
"N93X","Other abnormal uterine and vaginal bleeding"
"N930","Postcoital and contact bleeding"
"N938","Other specified abnormal uterine and vaginal bleeding"
"N939","Abnormal uterine and vaginal bleeding, unspecified"
"N94X","Pain and other conditions associated with female genital organs and menstrual cycle"
"N940","Mittelschmerz"
"N941","Dyspareunia"
"N942","Vaginismus"
"N943","Premenstrual tension syndrome"
"N944","Primary dysmenorrhoea"
"N945","Secondary dysmenorrhoea"
"N946","Dysmenorrhoea, unspecified"
"N948","Other specified conditions associated with female genital organs and menstrual cycle"
"N949","Unspecified condition associated with female genital organs and menstrual cycle"
"N95X","Menopausal and other perimenopausal disorders"
"N950","Postmenopausal bleeding"
"N951","Menopausal and female climacteric states"
"N952","Postmenopausal atrophic vaginitis"
"N953","States associated with artificial menopause"
"N958","Other specified menopausal and perimenopausal disorders"
"N959","Menopausal and perimenopausal disorder, unspecified"
"N96X","Habitual aborter"
"N97X","Female infertility"
"N970","Female infertility associated with anovulation"
"N971","Female infertility of tubal origin"
"N972","Female infertility of uterine origin"
"N973","Female infertility of cervical origin"
"N974","Female infertility associated with male factors"
"N978","Female infertility of other origin"
"N979","Female infertility, unspecified"
"N98X","Complications associated with artificial fertilization"
"N980","Infection associated with artificial insemination"
"N981","Hyperstimulation of ovaries"
"N982","Complications of attempted introduction of fertilized ovum following in vitro fertilization"
"N983","Complications of attempted introduction of embryo in embryo transfer"
"N988","Other complications associated with artificial fertilization"
"N989","Complication associated with artificial fertilization, unspecified"
"N99X","Postprocedural disorders of genitourinary system, not elsewhere classified"
"N990","Postprocedural renal failure"
"N991","Postprocedural urethral stricture"
"N992","Postoperative adhesions of vagina"
"N993","Prolapse of vaginal vault after hysterectomy"
"N994","Postprocedural pelvic peritoneal adhesions"
"N995","Malfunction of external stoma of urinary tract"
"N998","Other postprocedural disorders of genitourinary system"
"N999","Postprocedural disorder of genitourinary system, unspecified"
