icd10,description
"A155","Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically"
"A156","Tuberculous pleurisy, confirmed bacteriologically and histologically"
"A157","Primary respiratory tuberculosis, confirmed bacteriologically and histologically"
"A158","Other respiratory tuberculosis, confirmed bacteriologically and histologically"
"A159","Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically"
"A16X","Respiratory tuberculosis, not confirmed bacteriologically or histologically"
"A160","Tuberculosis of lung, bacteriologically and histologically negative"
"A161","Tuberculosis of lung, bacteriological and histological examination not done"
"A162","Tuberculosis of lung, without mention of bacteriological or histological confirmation"
"A163","Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation"
"A164","Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation"
"A165","Tuberculous pleurisy, without mention of bacteriological or histological confirmation"
"A167","Primary respiratory tuberculosis without mention of bacteriological or histological confirmation"
"A168","Other respiratory tuberculosis, without mention of bacteriological or histological confirmation"
"A169","Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"
"A17X","Tuberculosis of nervous system"
"A170","Tuberculous meningitis"
"A171","Meningeal tuberculoma"
"A178","Other tuberculosis of nervous system"
"A179","Tuberculosis of nervous system, unspecified"
"A18X","Tuberculosis of other organs"
"A180","Tuberculosis of bones and joints"
"A181","Tuberculosis of genitourinary system"
"A182","Tuberculous peripheral lymphadenopathy"
"A183","Tuberculosis of intestines, peritoneum and mesenteric glands"
"A184","Tuberculosis of skin and subcutaneous tissue"
"A185","Tuberculosis of eye"
"A186","Tuberculosis of ear"
"A187","Tuberculosis of adrenal glands"
"A188","Tuberculosis of other specified organs"
"A19X","Miliary tuberculosis"
"A190","Acute miliary tuberculosis of a single specified site"
"A191","Acute miliary tuberculosis of multiple sites"
"A192","Acute miliary tuberculosis, unspecified"
"A198","Other miliary tuberculosis"
"A199","Miliary tuberculosis, unspecified"
"A20X","Plague"
"A200","Bubonic plague"
"A201","Cellulocutaneous plague"
"A202","Pneumonic plague"
"A203","Plague meningitis"
"A207","Septicaemic plague"
"A208","Other forms of plague"
"A209","Plague, unspecified"
"A21X","Tularaemia"
"A210","Ulceroglandular tularaemia"
"A211","Oculoglandular tularaemia"
"A212","Pulmonary tularaemia"
"A213","Gastrointestinal tularaemia"
"A217","Generalized tularaemia"
"A218","Other forms of tularaemia"
"A219","Tularaemia, unspecified"
"A22X","Anthrax"
"A220","Cutaneous anthrax"
"A221","Pulmonary anthrax"
"A222","Gastrointestinal anthrax"
"A227","Anthrax sepsis"
"A228","Other forms of anthrax"
"A229","Anthrax, unspecified"
"A23X","Brucellosis"
"A230","Brucellosis due to Brucella melitensis"
"A231","Brucellosis due to Brucella abortus"
"A232","Brucellosis due to Brucella suis"
"A233","Brucellosis due to Brucella canis"
"A238","Other brucellosis"
"A239","Brucellosis, unspecified"
"A24X","Glanders and melioidosis"
"A240","Glanders"
"A241","Acute and fulminating melioidosis"
"A242","Subacute and chronic melioidosis"
"A243","Other melioidosis"
"A244","Melioidosis, unspecified"
"A25X","Rat-bite fevers"
"A250","Spirillosis"
"A251","Streptobacillosis"
"A259","Rat-bite fever, unspecified"
"A26X","Erysipeloid"
"A260","Cutaneous erysipeloid"
"A267","Erysipelothrix sepsis"
"A268","Other forms of erysipeloid"
"A269","Erysipeloid, unspecified"
"A27X","Leptospirosis"
"A270","Leptospirosis icterohaemorrhagica"
"A278","Other forms of leptospirosis"
"A279","Leptospirosis, unspecified"
"A28X","Other zoonotic bacterial diseases, not elsewhere classified"
"A280","Pasteurellosis"
"A281","Cat-scratch disease"
"A282","Extraintestinal yersiniosis"
"A288","Other specified zoonotic bacterial diseases, not elsewhere classified"
"A289","Zoonotic bacterial disease, unspecified"
"A30X","Leprosy [Hansen disease]"
"A300","Indeterminate leprosy"
"A301","Tuberculoid leprosy"
"A302","Borderline tuberculoid leprosy"
"A303","Borderline leprosy"
"A304","Borderline lepromatous leprosy"
"A305","Lepromatous leprosy"
"A308","Other forms of leprosy"
"A309","Leprosy, unspecified"
"A31X","Infection due to other mycobacteria"
"A310","Pulmonary mycobacterial infection"
"A311","Cutaneous mycobacterial infection"
"A318","Other mycobacterial infections"
"A319","Mycobacterial infection, unspecified"
"A32X","Listeriosis"
"A320","Cutaneous listeriosis"
"A321","Listerial meningitis and meningoencephalitis"
"A327","Listerial sepsis"
"A328","Other forms of listeriosis"
"A329","Listeriosis, unspecified"
"A33X","Tetanus neonatorum"
"A34X","Obstetrical tetanus"
"A35X","Other tetanus"
"A36X","Diphtheria"
"A360","Pharyngeal diphtheria"
"A361","Nasopharyngeal diphtheria"
"A362","Laryngeal diphtheria"
"A363","Cutaneous diphtheria"
"A368","Other diphtheria"
"A369","Diphtheria, unspecified"
"A37X","Whooping cough"
"A370","Whooping cough due to Bordetella pertussis"
"A371","Whooping cough due to Bordetella parapertussis"
"A378","Whooping cough due to other Bordetella species"
"A379","Whooping cough, unspecified"
"A38X","Scarlet fever"
"A39X","Meningococcal infection"
"A390","Meningococcal meningitis"
"A391","Waterhouse-Friderichsen syndrome"
"A392","Acute meningococcaemia"
"A393","Chronic meningococcaemia"
"A394","Meningococcaemia, unspecified"
"A395","Meningococcal heart disease"
"A398","Other meningococcal infections"
"A399","Meningococcal infection, unspecified"
"A40X","Streptococcal sepsis"
"A400","Sepsis due to streptococcus, group A"
"A401","Sepsis due to streptococcus, group B"
"A402","Sepsis due to streptococcus, group D and enterococcus"
"A403","Sepsis due to Streptococcus pneumoniae"
"A408","Other streptococcal sepsis"
"A409","Streptococcal sepsis, unspecified"
"A41X","Other sepsis"
"A410","Sepsis due to Staphylococcus aureus"
"A411","Sepsis due to other specified staphylococcus"
"A412","Sepsis due to unspecified staphylococcus"
"A413","Sepsis due to Haemophilus influenzae"
"A414","Sepsis due to anaerobes"
"A415","Sepsis due to other Gram-negative organisms"
"A418","Other specified sepsis"
"A419","Sepsis, unspecified"
"A42X","Actinomycosis"
"A420","Pulmonary actinomycosis"
"A421","Abdominal actinomycosis"
"A422","Cervicofacial actinomycosis"
"A427","Actinomycotic sepsis"
"A428","Other forms of actinomycosis"
"A429","Actinomycosis, unspecified"
"A43X","Nocardiosis"
"A430","Pulmonary nocardiosis"
"A431","Cutaneous nocardiosis"
"A438","Other forms of nocardiosis"
"A439","Nocardiosis, unspecified"
"A44X","Bartonellosis"
"A440","Systemic bartonellosis"
"A441","Cutaneous and mucocutaneous bartonellosis"
"A448","Other forms of bartonellosis"
"A449","Bartonellosis, unspecified"
"A46X","Erysipelas"
"A48X","Other bacterial diseases, not elsewhere classified"
"A480","Gas gangrene"
"A481","Legionnaires disease"
"A482","Nonpneumonic Legionnaires disease [Pontiac fever]"
"A483","Toxic shock syndrome"
"A484","Brazilian purpuric fever"
"A488","Other specified bacterial diseases"
"A49X","Bacterial infection of unspecified site"
"A490","Staphylococcal infection, unspecified site"
"A491","Streptococcal and enterococcal infection, unspecified site"
"A492","Haemophilus influenzae infection, unspecified site"
"A493","Mycoplasma infection, unspecified site"
"A498","Other bacterial infections of unspecified site"
"A499","Bacterial infection, unspecified"
"A50X","Congenital syphilis"
"A500","Early congenital syphilis, symptomatic"
"A501","Early congenital syphilis, latent"
"A502","Early congenital syphilis, unspecified"
"A503","Late congenital syphilitic oculopathy"
"A504","Late congenital neurosyphilis [juvenile neurosyphilis]"
"A505","Other late congenital syphilis, symptomatic"
"A506","Late congenital syphilis, latent"
"A507","Late congenital syphilis, unspecified"
"A509","Congenital syphilis, unspecified"
"A51X","Early syphilis"
"A510","Primary genital syphilis"
"A511","Primary anal syphilis"
"A512","Primary syphilis of other sites"
"A513","Secondary syphilis of skin and mucous membranes"
"A514","Other secondary syphilis"
"A515","Early syphilis, latent"
"A519","Early syphilis, unspecified"
"A52X","Late syphilis"
"A520","Cardiovascular syphilis"
"A521","Symptomatic neurosyphilis"
"A522","Asymptomatic neurosyphilis"
"A523","Neurosyphilis, unspecified"
"A527","Other symptomatic late syphilis"
"A528","Late syphilis, latent"
"A529","Late syphilis, unspecified"
"A53X","Other and unspecified syphilis"
"A530","Latent syphilis, unspecified as early or late"
"A539","Syphilis, unspecified"
"A54X","Gonococcal infection"
"A540","Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess"
"A541","Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess"
"A542","Gonococcal pelviperitonitis and other gonococcal genitourinary infections"
"A543","Gonococcal infection of eye"
"A544","Gonococcal infection of musculoskeletal system"
"A545","Gonococcal pharyngitis"
"A546","Gonococcal infection of anus and rectum"
"A548","Other gonococcal infections"
"A549","Gonococcal infection, unspecified"
"A55X","Chlamydial lymphogranuloma (venereum)"
"A56X","Other sexually transmitted chlamydial diseases"
"A560","Chlamydial infection of lower genitourinary tract"
"A561","Chlamydial infection of pelviperitoneum and other genitourinary organs"
"A562","Chlamydial infection of genitourinary tract, unspecified"
"A563","Chlamydial infection of anus and rectum"
"A564","Chlamydial infection of pharynx"
"A568","Sexually transmitted chlamydial infection of other sites"
"A57X","Chancroid"
"A58X","Granuloma inguinale"
"A59X","Trichomoniasis"
"A590","Urogenital trichomoniasis"
"A598","Trichomoniasis of other sites"
"A599","Trichomoniasis, unspecified"
"A60X","Anogenital herpesviral [herpes simplex] infection"
"A600","Herpesviral infection of genitalia and urogenital tract"
"A601","Herpesviral infection of perianal skin and rectum"
"A609","Anogenital herpesviral infection, unspecified"
"A63X","Other predominantly sexually transmitted diseases, not elsewhere classified"
"A630","Anogenital (venereal) warts"
"A638","Other specified predominantly sexually transmitted diseases"
"A64X","Unspecified sexually transmitted disease"
"A65X","Nonvenereal syphilis"
"A66X","Yaws"
"A660","Initial lesions of yaws"
"A661","Multiple papillomata and wet crab yaws"
"A662","Other early skin lesions of yaws"
"A663","Hyperkeratosis of yaws"
"A664","Gummata and ulcers of yaws"
"A665","Gangosa"
"A666","Bone and joint lesions of yaws"
"A667","Other manifestations of yaws"
"A668","Latent yaws"
"A669","Yaws, unspecified"
"A67X","Pinta [carate]"
"A670","Primary lesions of pinta"
"A671","Intermediate lesions of pinta"
"A672","Late lesions of pinta"
"A673","Mixed lesions of pinta"
"A679","Pinta, unspecified"
"A68X","Relapsing fevers"
"A680","Louse-borne relapsing fever"
"A681","Tick-borne relapsing fever"
"A689","Relapsing fever, unspecified"
"A69X","Other spirochaetal infections"
"A690","Necrotizing ulcerative stomatitis"
"A691","Other Vincent infections"
"A692","Lyme disease"
"A698","Other specified spirochaetal infections"
"A699","Spirochaetal infection, unspecified"
"A70X","Chlamydia psittaci infection"
"A71X","Trachoma"
"A710","Initial stage of trachoma"
"A711","Active stage of trachoma"
"A719","Trachoma, unspecified"
"A74X","Other diseases caused by chlamydiae"
"A740","Chlamydial conjunctivitis"
"A748","Other chlamydial diseases"
"A749","Chlamydial infection, unspecified"
"A75X","Typhus fever"
"A750","Epidemic louse-borne typhus fever due to Rickettsia prowazekii"
"A751","Recrudescent typhus [Brill disease]"
"A752","Typhus fever due to Rickettsia typhi"
"A753","Typhus fever due to Rickettsia tsutsugamushi"
"A759","Typhus fever, unspecified"
"A77X","Spotted fever [tick-borne rickettsioses]"
"A770","Spotted fever due to Rickettsia rickettsii"
"A771","Spotted fever due to Rickettsia conorii"
"A772","Spotted fever due to Rickettsia sibirica"
"A773","Spotted fever due to Rickettsia australis"
"A778","Other spotted fevers"
"A779","Spotted fever, unspecified"
"A78X","Q fever"
"A79X","Other rickettsioses"
"A790","Trench fever"
"A791","Rickettsialpox due to Rickettsia akari"
"A798","Other specified rickettsioses"
"A799","Rickettsiosis, unspecified"
"A80X","Acute poliomyelitis"
"A800","Acute paralytic poliomyelitis, vaccine-associated"
"A801","Acute paralytic poliomyelitis, wild virus, imported"
"A802","Acute paralytic poliomyelitis, wild virus, indigenous"
"A803","Acute paralytic poliomyelitis, other and unspecified"
"A804","Acute nonparalytic poliomyelitis"
"A809","Acute poliomyelitis, unspecified"
"A81X","Atypical virus infections of central nervous system"
"A810","Creutzfeldt-Jakob disease"
"A811","Subacute sclerosing panencephalitis"
"A812","Progressive multifocal leukoencephalopathy"
"A818","Other atypical virus infections of central nervous system"
"A819","Atypical virus infection of central nervous system, unspecified"
"A82X","Rabies"
"A820","Sylvatic rabies"
"A821","Urban rabies"
"A829","Rabies, unspecified"
"A83X","Mosquito-borne viral encephalitis"
"A830","Japanese encephalitis"
"A831","Western equine encephalitis"
"A832","Eastern equine encephalitis"
"A833","St Louis encephalitis"
"A834","Australian encephalitis"
"A835","California encephalitis"
"A836","Rocio virus disease"
"A838","Other mosquito-borne viral encephalitis"
"A839","Mosquito-borne viral encephalitis, unspecified"
"A84X","Tick-borne viral encephalitis"
"A840","Far Eastern tick-borne encephalitis [Russian spring-summer encephalitis]"
"A841","Central European tick-borne encephalitis"
"A848","Other tick-borne viral encephalitis"
"A849","Tick-borne viral encephalitis, unspecified"
"A85X","Other viral encephalitis, not elsewhere classified"
"A850","Enteroviral encephalitis"
"A851","Adenoviral encephalitis"
"A852","Arthropod-borne viral encephalitis, unspecified"
"A858","Other specified viral encephalitis"
"A86X","Unspecified viral encephalitis"
"A87X","Viral meningitis"
"A870","Enteroviral meningitis"
"A871","Adenoviral meningitis"
"A872","Lymphocytic choriomeningitis"
"A878","Other viral meningitis"
"A879","Viral meningitis, unspecified"
"A88X","Other viral infections of central nervous system, not elsewhere classified"
"A880","Enteroviral exanthematous fever [Boston exanthem]"
"A881","Epidemic vertigo"
"A888","Other specified viral infections of central nervous system"
"A89X","Unspecified viral infection of central nervous system"
"A92X","Other mosquito-borne viral fevers"
"A920","Chikungunya virus disease"
"A921","O'nyong-nyong fever"
"A922","Venezuelan equine fever"
"A923","West Nile virus infection"
"A924","Rift Valley fever"
"A925","Zika virus disease"
"A928","Other specified mosquito-borne viral fevers"
"A929","Mosquito-borne viral fever, unspecified"
"A93X","Other arthropod-borne viral fevers, not elsewhere classified"
"A930","Oropouche virus disease"
"A931","Sandfly fever"
"A932","Colorado tick fever"
"A938","Other specified arthropod-borne viral fevers"
"A94X","Unspecified arthropod-borne viral fever"
"A95X","Yellow fever"
"A950","Sylvatic yellow fever"
"A951","Urban yellow fever"
"A959","Yellow fever, unspecified"
"A96X","Arenaviral haemorrhagic fever"
"A960","Junin haemorrhagic fever"
"A961","Machupo haemorrhagic fever"
"A962","Lassa fever"
"A968","Other arenaviral haemorrhagic fevers"
"A969","Arenaviral haemorrhagic fever, unspecified"
"A97X","Dengue"
"A970","Dengue without warning signs"
"A971","Dengue with warning signs"
"A972","Severe Dengue"
"A979","Dengue, unspecified"
"A98X","Other viral haemorrhagic fevers, not elsewhere classified"
"A980","Crimean-Congo haemorrhagic fever"
"A981","Omsk haemorrhagic fever"
"A982","Kyasanur Forest disease"
"A983","Marburg virus disease"
"A984","Ebola virus disease"
"A985","Haemorrhagic fever with renal syndrome"
"A988","Other specified viral haemorrhagic fevers"
"A99X","Unspecified viral haemorrhagic fever"
